summons_number,street_codes,house_number,source_street_name,violation_location,violation_precinct,precinct_borough,violation_location_borough,candidate_method,candidate_boroughs,display_valid_boroughs,validated_boroughs,suggested_borough,status,confidence,validation_method,geosupport_street_names,street_name_similarity,latitude,longitude,candidate_details
1473208981,40404|40404,130,LINDEN ST,,0,,,exact_code_tuple_ranked,Bronx|Brooklyn|Manhattan|Queens|Staten Island,,,,unmatched,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Brooklyn"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Queens"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""}]"
1494202621,40404|40404,2095,STERLING AVE,,0,,,exact_code_tuple_ranked,Bronx|Brooklyn|Manhattan|Queens|Staten Island,,,,unmatched,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Brooklyn"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Queens"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""}]"
1495552585,40404|40404,2854,BRIGHTON 4 ST,,0,,,exact_code_tuple_ranked,Bronx|Brooklyn|Manhattan|Queens|Staten Island,,,,unmatched,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Brooklyn"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Queens"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""}]"
1495118721,40404|40404,2306,E 3RD AVE,,0,,,exact_code_tuple_ranked,Bronx|Brooklyn|Manhattan|Queens|Staten Island,,,,unmatched,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Brooklyn"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Queens"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""}]"
1497852353,40404|40404,184,WILSON AVE,3,3,,,exact_code_tuple_ranked,Bronx|Brooklyn|Manhattan|Queens|Staten Island,,,,unmatched,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Brooklyn"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Queens"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""}]"
1495630559,40404|40404,520,75 AV,,0,,,exact_code_tuple_ranked,Bronx|Brooklyn|Manhattan|Queens|Staten Island,,,,unmatched,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Brooklyn"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Queens"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""}]"
1495627378,40404|40404,30,DONGAN PL,54,54,,,exact_code_tuple_ranked,Bronx|Brooklyn|Manhattan|Queens|Staten Island,,,,unmatched,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Brooklyn"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Queens"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""}]"
1473028530,40404|40404,20,GREEN LEAF AVE,,0,,,exact_code_tuple_ranked,Bronx|Brooklyn|Manhattan|Queens|Staten Island,,,,unmatched,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Brooklyn"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Queens"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""}]"
1488657774,40404|40404,65,LENOX,,0,,,exact_code_tuple_ranked,Bronx|Brooklyn|Manhattan|Queens|Staten Island,,,,unmatched,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Brooklyn"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Queens"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""}]"
1495538370,40404|40404,1749,CROSBY AVE,,0,,,exact_code_tuple_ranked,Bronx|Brooklyn|Manhattan|Queens|Staten Island,,,,unmatched,,,,0.0,,,"[{""borough"":""Bronx"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Brooklyn"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Manhattan"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Queens"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""},{""borough"":""Staten Island"",""display_ok"":false,""street_names"":["""",""""],""location_ok"":false,""validation_method"":""none"",""latitude"":"""",""longitude"":"""",""grc"":""64;64;64""}]"
