borough,county_name,population,state_fips,county_fips,census_year
Bronx,"Bronx County, New York",1472654,36,005,2020
Brooklyn,"Kings County, New York",2736074,36,047,2020
Manhattan,"New York County, New York",1694251,36,061,2020
Queens,"Queens County, New York",2405464,36,081,2020
Staten Island,"Richmond County, New York",495747,36,085,2020
